YEAR,Location,Death Rate,"Deaths ",URL
2021,NM,27.8,578,/nchs/state-stats/states/nm.html
2021,NY,5.4,1078,/nchs/state-stats/states/ny.html
2021,NC,17.3,1839,/nchs/state-stats/states/nc.html
2021,ND,16.8,128,/nchs/state-stats/states/nd.html
2021,OH,16.5,1911,/nchs/state-stats/states/oh.html
2021,OK,21.2,836,/nchs/state-stats/states/ok.html
2021,OR,14.9,670,/nchs/state-stats/states/or.html
2021,PA,14.8,1905,/nchs/state-stats/states/pa.html
2021,RI,5.6,64,/nchs/state-stats/states/ri.html
2021,SC,22.4,1136,/nchs/state-stats/states/sc.html
2021,SD,14.3,128,/nchs/state-stats/states/sd.html
2021,TN,22.8,1569,/nchs/state-stats/states/tn.html
2021,TX,15.6,4613,/nchs/state-stats/states/tx.html
2021,UT,13.9,450,/nchs/state-stats/states/ut.html
2021,VT,11.9,83,/nchs/state-stats/states/vt.html
2021,VA,14.3,1248,/nchs/state-stats/states/va.html
2021,WA,11.2,896,/nchs/state-stats/states/wa.html
2021,WV,17.3,319,/nchs/state-stats/states/wv.html
2021,WI,13.5,793,/nchs/state-stats/states/wi.html
2021,WY,26.1,155,/nchs/state-stats/states/wy.html
2020,AL,23.6,1141,/nchs/state-stats/states/al.html
2020,AK,23.5,175,/nchs/state-stats/states/ak.html
2020,AZ,16.7,1265,/nchs/state-stats/states/az.html
2020,AR,22.6,673,/nchs/state-stats/states/ar.html
2020,CA,8.5,3449,/nchs/state-stats/states/ca.html
2020,CO,15.4,922,/nchs/state-stats/states/co.html
2020,CT,6,219,/nchs/state-stats/states/ct.html
2020,DE,14.4,135,/nchs/state-stats/states/de.html
2020,District of Columbia,21.9,167,/nchs/state-stats/states/dc.html
2020,FL,13.7,3041,/nchs/state-stats/states/fl.html
2020,GA,17.7,1897,/nchs/state-stats/states/ga.html
2020,HI,3.4,50,/nchs/state-stats/states/hi.html
2020,ID,17.6,321,/nchs/state-stats/states/id.html
2020,IL,14.1,1745,/nchs/state-stats/states/il.html
2020,IN,17.3,1159,/nchs/state-stats/states/in.html
2020,IA,11.2,351,/nchs/state-stats/states/ia.html
2020,KS,16.9,494,/nchs/state-stats/states/ks.html
2020,KY,20.1,902,/nchs/state-stats/states/ky.html
2020,LA,26.3,1183,/nchs/state-stats/states/la.html
2020,ME,10.4,153,/nchs/state-stats/states/me.html
2020,MD,13.5,803,/nchs/state-stats/states/md.html
2020,MA,3.7,268,/nchs/state-stats/states/ma.html
2020,MI,14.6,1454,/nchs/state-stats/states/mi.html
2020,MN,8.9,513,/nchs/state-stats/states/mn.html
2020,MS,28.6,818,/nchs/state-stats/states/ms.html
2020,MO,23.9,1426,/nchs/state-stats/states/mo.html
2020,MT,20.9,238,/nchs/state-stats/states/mt.html
2020,NE,10.1,197,/nchs/state-stats/states/ne.html
2020,NV,17,547,/nchs/state-stats/states/nv.html
2020,NH,8.9,128,/nchs/state-stats/states/nh.html
2020,NJ,5,443,/nchs/state-stats/states/nj.html
2020,NM,22.7,479,/nchs/state-stats/states/nm.html
2020,NY,5.3,1052,/nchs/state-stats/states/ny.html
2020,NC,16,1699,/nchs/state-stats/states/nc.html
2020,ND,13.8,100,/nchs/state-stats/states/nd.html
2020,OH,15.2,1764,/nchs/state-stats/states/oh.html
2020,OK,20.7,826,/nchs/state-stats/states/ok.html
2020,OR,13,592,/nchs/state-stats/states/or.html
2020,PA,13.6,1752,/nchs/state-stats/states/pa.html
2020,RI,5.1,54,/nchs/state-stats/states/ri.html
2020,SC,22,1131,/nchs/state-stats/states/sc.html
2020,SD,13.6,120,/nchs/state-stats/states/sd.html
2020,TN,21.3,1473,/nchs/state-stats/states/tn.html
2020,TX,14.2,4164,/nchs/state-stats/states/tx.html
2020,UT,13.6,429,/nchs/state-stats/states/ut.html
2020,VT,11.6,76,/nchs/state-stats/states/vt.html
2020,VA,13.4,1174,/nchs/state-stats/states/va.html
2020,WA,10.9,864,/nchs/state-stats/states/wa.html
2020,WV,18.1,325,/nchs/state-stats/states/wv.html
2020,WI,12.2,717,/nchs/state-stats/states/wi.html
2020,WY,25.9,154,/nchs/state-stats/states/wy.html
2019,AL,22.2,1076,/nchs/state-stats/states/al.html
2019,AK,24.4,179,/nchs/state-stats/states/ak.html
2019,AZ,15.1,1136,/nchs/state-stats/states/az.html
2019,AR,19.3,580,/nchs/state-stats/states/ar.html
2019,CA,7.2,2945,/nchs/state-stats/states/ca.html
2019,CO,14.2,846,/nchs/state-stats/states/co.html
2019,CT,5.3,190,/nchs/state-stats/states/ct.html
2019,DE,9.9,93,/nchs/state-stats/states/de.html
2019,District of Columbia,18.3,141,/nchs/state-stats/states/dc.html
2019,FL,12.7,2872,/nchs/state-stats/states/fl.html
2019,GA,15.8,1695,/nchs/state-stats/states/ga.html
2019,HI,4.4,62,/nchs/state-stats/states/hi.html
2019,ID,14.2,255,/nchs/state-stats/states/id.html
2019,IL,10.8,1367,/nchs/state-stats/states/il.html
2019,IN,14.1,958,/nchs/state-stats/states/in.html
2019,IA,9.1,294,/nchs/state-stats/states/ia.html
2019,KS,13.7,403,/nchs/state-stats/states/ks.html
2019,KY,14.9,682,/nchs/state-stats/states/ky.html
2019,LA,22.1,1013,/nchs/state-stats/states/la.html
2019,ME,11.5,163,/nchs/state-stats/states/me.html
2019,MD,12.6,757,/nchs/state-stats/states/md.html
